ts_code,name,signal_trade_date,signal_state,dd250,pos60,green_days,green_peak_pct,green_area_pct,slope3_pct,slope5_pct,slope_accel_pct,hist_expand_pct,predicted_cross_days,r3_pct,daily_pct,vol_ratio,flow3_ratio,market_r3_pct,no_new_low_5,limit_pct,heat_ratio,consecutive_limit_up,strategy,entry_trade_date,entry_adj_open,ret_5d,excess_5d,mdd_5d,ret_10d,excess_10d,mdd_10d,ret_20d,excess_20d,mdd_20d
000536.SZ,华映科技,20260408,pending,29.126213592233007,20.370370370370345,13,1.8073503641450686,16.372069381384712,0.044005498750189734,0.0011067631033096976,0.16238750717233053,0.32541655234465133,0.44597709743633196,3.0588235294117583,4.7846889952153155,1.046839309512111,-0.0042281738822699646,1.9317884802055207,True,10.047846889952151,0.4761904761904767,0,pure_shape_window,20260409,4.3,-0.011627906976744096,-0.019690990871039316,-0.013953488372092981,-0.027906976744186074,-0.0557569566252748,-0.03023255813953485,-0.051162790697674376,-0.10874059894411259,-0.11627906976744184
000536.SZ,华映科技,20260701,pending,40.29126213592233,39.73509933774836,22,3.2423269014964373,38.090546553684455,0.2623514192206099,-0.10605293604247536,0.36506773230375167,0.9758493621435887,0.04781862432584175,17.89137380191694,10.14925373134328,1.197835442300757,0.004594527777268346,2.115095585470317,False,10.149253731343277,1.0000000000000002,1,pure_shape_window,20260702,3.65,-0.0602739726027397,-0.025850268535478227,-0.0767123287671232,-0.136986301369863,-0.09884179401313287,-0.15068493150684925,-0.1424657534246575,-0.07341284711609208,-0.22739726027397267
000536.SZ,华映科技,20260727,pending,49.676375404530745,8.588957055214708,11,2.1804751144381718,15.644787770325554,0.12801350874338338,0.011994529455703277,0.31192170406319164,0.49554948712043667,0.4787425189714181,4.013377926421402,4.713804713804703,0.6588872133392607,0.014145506636815524,-0.22726981218886833,False,10.1010101010101,0.4666666666666656,0,pure_shape_window,20260728,3.07,0.05211726384364823,0.06470902512371213,-0.009771986970683932,0.08469055374592838,0.056608226159162944,-0.009771986970683932,0.02931596091205213,0.023156968935129862,-0.009771986970683932
000545.SZ,金浦钛业,20260420,pending,24.509803921568626,21.875000000000014,21,5.664205534729132,73.95466161757774,0.13793177607173596,0.05355489755857475,0.20648613643354047,0.5169783121880971,0.7836052169748223,3.3557046979865834,1.3157894736842117,0.6541364746880275,0.006325183671535779,1.3636638471378415,True,9.868421052631572,0.13333333333333355,0,pure_shape_window,20260421,3.05,-0.0491803278688524,-0.050213392223952824,-0.09508196721311479,-0.02950819672131144,-0.053506739049893004,-0.09508196721311479,-0.14754098360655732,-0.14635273055093834,-0.15409836065573768
000545.SZ,金浦钛业,20260615,just_cross,36.029411764705884,19.727891156462583,20,2.533510918426874,27.71370579267019,0.3630752921421794,0.20691970887843272,0.2970853033187722,0.7030701308045035,0.0,12.017167381974247,10.126582278481003,0.8042368832626564,-0.006315411260481712,2.5855262179263594,False,10.126582278481,1.0000000000000004,1,pure_shape_window,20260616,2.67,0.05992509363295895,0.05753767325849379,-0.10861423220973787,-0.10861423220973787,-0.1081078208020867,-0.1348314606741573,-0.05617977528089879,-0.024604920266033226,-0.1348314606741573
000545.SZ,金浦钛业,20260729,pending,39.21568627450981,20.25316455696204,10,1.5145720784864722,8.664894512794444,0.08472914890566044,0.014431224649097943,0.22315670228303494,0.3391391181647608,0.5792884408392962,4.201680672268915,1.2244897959183594,0.5964375591957674,0.009257890760297453,0.37415993475744536,True,10.20408163265305,0.11999999999999934,0,pure_shape_window,20260730,2.46,0.04065040650406515,0.027600646926542183,-0.016260162601625994,0.060975609756097615,0.030100029987788046,-0.016260162601625994,0.07317073170731714,0.05121561074381975,-0.016260162601625994
000545.SZ,金浦钛业,20260729,pending,39.21568627450981,20.25316455696204,10,1.5145720784864722,8.664894512794444,0.08472914890566044,0.014431224649097943,0.22315670228303494,0.3391391181647608,0.5792884408392962,4.201680672268915,1.2244897959183594,0.5964375591957674,0.009257890760297453,0.37415993475744536,True,10.20408163265305,0.11999999999999934,0,early_turn_flow_market,20260730,2.46,0.04065040650406515,0.027600646926542183,-0.016260162601625994,0.060975609756097615,0.030100029987788046,-0.016260162601625994,0.07317073170731714,0.05121561074381975,-0.016260162601625994
000545.SZ,金浦钛业,20260729,pending,39.21568627450981,20.25316455696204,10,1.5145720784864722,8.664894512794444,0.08472914890566044,0.014431224649097943,0.22315670228303494,0.3391391181647608,0.5792884408392962,4.201680672268915,1.2244897959183594,0.5964375591957674,0.009257890760297453,0.37415993475744536,True,10.20408163265305,0.11999999999999934,0,early_turn_flow_market_plus,20260730,2.46,0.04065040650406515,0.027600646926542183,-0.016260162601625994,0.060975609756097615,0.030100029987788046,-0.016260162601625994,0.07317073170731714,0.05121561074381975,-0.016260162601625994
000555.SZ,神州信息,20260204,pending,21.00456621004565,35.108958837772455,12,2.1769122931387592,16.39960423685591,0.07574921034049607,-0.08987941282589844,0.2648796932327076,0.4866516889657755,1.1166687418106689,6.922126081582203,1.5854374633000692,0.8153658805097677,0.003565664429188704,-0.38236523456490756,True,10.06541571162931,0.157513361466859,0,pure_shape_window,20260205,16.994330425319934,0.05581668625146885,0.04855643919391306,-0.008225616921269108,0.05111633372502933,0.04028578466869348,-0.008225616921269108,0.08225616921269108,0.0756985691725176,-0.049353701527614535
000555.SZ,神州信息,20260409,pending,31.82648401826484,17.886178861788636,17,4.694166638514668,47.65553395780095,0.11131293739611726,-0.23030792496066496,0.5239783759598408,0.948821942032488,2.112654841477359,7.953723788864786,-1.8408941485864587,0.47777850068601474,0.010819864808984989,2.2183596609847367,False,10.07646539720004,-0.18269244978482138,0,pure_shape_window,20260410,14.997346826574935,0.0852197070572569,0.06268522846490576,-0.01464713715046606,0.003994673768308754,-0.028046025836388155,-0.01464713715046606,-0.05059920106524629,-0.11320817265981575,-0.09786950732356858
000555.SZ,神州信息,20260409,pending,31.82648401826484,17.886178861788636,17,4.694166638514668,47.65553395780095,0.11131293739611726,-0.23030792496066496,0.5239783759598408,0.948821942032488,2.112654841477359,7.953723788864786,-1.8408941485864587,0.47777850068601474,0.010819864808984989,2.2183596609847367,False,10.07646539720004,-0.18269244978482138,0,early_turn_flow_market,20260410,14.997346826574935,0.0852197070572569,0.06268522846490576,-0.01464713715046606,0.003994673768308754,-0.028046025836388155,-0.01464713715046606,-0.05059920106524629,-0.11320817265981575,-0.09786950732356858
000555.SZ,神州信息,20260616,pending,47.82084674731726,8.341770026257691,14,3.1262037460477563,21.798003696827728,0.053360517325780094,-0.18580243393686452,0.33099550144910317,0.6171561890765234,1.677285237142267,5.746061167747918,0.35180299032542595,0.5207040011779369,-0.0008895295614196004,2.6304643421555474,False,10.026385224274414,0.0350877192982464,0,pure_shape_window,20260617,11.33,0.017652250661959412,0.013028056918024333,-0.04854368932038844,-0.07766990291262144,-0.08269290975319843,-0.10150044130626656,-0.15092674315975296,-0.11761364252221651,-0.16593115622241839
000557.SZ,西部创业,20260702,pending,39.212328767123296,6.923076923076879,35,1.9995234770843158,37.70626283268662,0.08777768112439,-0.04229009721380268,0.14831203181920555,0.3545897276704583,0.4303226013037147,2.011494252873547,0.5665722379603315,1.0815859146881333,-0.005837343573788929,-1.104540642205476,False,10.528666085223248,0.05381234748773192,0,pure_shape_window,20260703,3.540358240722021,-0.022346368715083775,-0.02425361206996346,-0.025139664804469053,0.039442833121176024,0.07580289711674726,-0.030726256983240163,0.030969114372905615,0.08661978540655013,-0.030726256983240163
000558.SZ,天府文旅,20260312,pending,35.14246947082768,20.999999999999996,15,3.3340138065050504,26.570865879288295,0.08387197646760478,0.001369869098623863,0.3326454464809776,0.5049765287279844,2.0426187530645095,1.7021276595744705,0.4201680672269005,0.5487656024771626,-0.005720764840392298,0.7933476969439024,True,10.084033613445387,0.041666666666667594,0,pure_shape_window,20260313,4.76,-0.03991596638655448,-0.01023632122588436,-0.04621848739495793,-0.04621848739495793,0.011910148110490626,-0.11764705882352933,-0.05882352941176461,-0.024220877494130044,-0.11764705882352933
000558.SZ,天府文旅,20260528,pending,48.71099050203527,7.079646017699122,22,1.3751162246465336,18.985898391843957,0.09244188569314153,0.04876150409448724,0.16159212802781286,0.29039093010363226,0.095993470290117,0.8000000000000007,2.162162162162152,1.1310504215983337,0.0017386746881492684,-1.2987816745519742,True,10.000000000000009,0.216216216216215,0,pure_shape_window,20260529,3.79,-0.05277044854881274,-0.042802570944269314,-0.06068601583113453,0.0316622691292876,0.05889598918804473,-0.0870712401055409,-0.17941952506596304,-0.16200617011503027,-0.17941952506596304
